Data de emissão	Pedido	Razão social (Nome) - Cliente (Pedido)	Item	Descrição do item	Subgrupo (Código) - Item	Descrição - Família de itens (Item)	Qtde. solicitada	Qtde. cancelada	Qtde. faturada	Valor unitário	Data de previsão de faturamento - Pedido	Impostos dos itens dos pedidos - Valor ICMS destinatário	Valor do ICMS - Impostos dos itens dos pedidos	Valor do PIS - Impostos dos itens dos pedidos	Valor de COFINS - Impostos dos itens dos pedidos	Preço de custo - Item	Custo de matéria-prima - Item	Gastos gerais de fabricação	Custo da mão de obra - Item	Estado (Sigla) - Cliente (Pedido)	Representante - Razão social (Representante)	Cliente - Data de cadastro	Família de clientes
06/02/2026	4533	IMART COMERCIO DE EQUIPAMENTOS PARA VAREJO E ESCRITORIOS LTDA	300003.0126	BANCO MALY CINZA HIDROREPELENTE PRETO R9005 COMIGO	301	MALY	2,0000	0,0000	2,0000	1122,9900	16/03/2026	0,00	157,22	34,46	158,75	0,000000	488,9418	0,0000	127,0750	GO	O2 - ARQUITETURA E REPRESENTACOES LTDA	22/05/2020	REVENDA DE MÓVEIS CORPORATIVO
06/02/2026	4535	INFINITI MOBILIARIO CORPORATIVO LTDA	300006.0016	BALIZADOR BOLA CT BC VERNIZ S/ FIX C/EMB	303	BOLA	2,0000	0,0000	2,0000	351,2768	02/03/2026	0,00	49,18	10,78	49,66	0,000000	95,9492	0,0000	49,5000	ES	LE MONDE MOBILIARIOS INTELIGENTES LTDA	05/01/2022	DISTRIBUIDOR AUTORIZADO GOLD
06/02/2026	4537	LEGNA REPRESENTACAO COMERCIAL LTDA	300125.0002	BANCO STONE M	301	STONE	10,0000	0,0000	10,0000	3149,6964	20/03/2026	0,00	2204,79	483,32	2226,20	0,000000	1302,6853	0,0000	233,7400	PE	LEGNA REPRESENTACAO COMERCIAL LTDA	11/08/2023	DISTRIBUIDOR AUTORIZADO BLACK
06/02/2026	4537	LEGNA REPRESENTACAO COMERCIAL LTDA	200109.0001	MESA BREAK TIME TW A GR R7016 FOSC MICR MAD REFL CASTA DECK	201	BREAK TIME	24,0000	0,0000	24,0000	1072,6987	20/03/2026	0,00	1802,13	395,05	1819,64	0,000000	908,3275	0,0000	0,0000	PE	LEGNA REPRESENTACAO COMERCIAL LTDA	11/08/2023	DISTRIBUIDOR AUTORIZADO BLACK
06/02/2026	4537	LEGNA REPRESENTACAO COMERCIAL LTDA	200098.0002	BREAK TIME WA GR R7016 FOSC MICR MAD REFL CASTA DECK	201	BREAK TIME	96,0000	0,0000	96,0000	517,9898	20/03/2026	0,00	3480,89	763,06	3514,71	0,000000	414,5101	0,0000	0,0000	PE	LEGNA REPRESENTACAO COMERCIAL LTDA	11/08/2023	DISTRIBUIDOR AUTORIZADO BLACK
06/02/2026	4534	RESERVA PAULISTA ADMINISTRADORA DE PARQUES S.A.	200067.0005	MESA AIR L GR 7016 FM MAD REFL CASTA DECK	202	AIR/PIC NIC	6,0000	0,0000	6,0000	8441,6216	01/04/2026	0,00	6275,50	732,17	3372,44	0,000000	5117,8527	0,0000	0,0000	SP	METALCO DO BRASIL LTDA	11/09/2025	OUTROS CONSUM. FINAIS PESSOA J
06/02/2026	4539	MAR VITTA RESIDENCIAL 113 SPE LTDA	300003.0186	BANCO MALY CINZA VERNIZ PRETO R9005 VITTA MIRALI	301	MALY	2,0000	0,0000	2,0000	1944,7108	23/03/2026	284,59	466,73	51,78	238,50	0,000000	530,1343	0,0000	127,0750	SP	METALCO DO BRASIL LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300125.0004	BANCO STONE M CT BC HIDROR	301	STONE	1,0000	0,0000	1,0000	3367,6632	01/04/2026	0,00	404,12	48,90	225,23	0,000000	1294,0785	0,0000	233,7400	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300110.0003	BANCO STONE G CT CZ HIDROR	301	STONE	1,0000	0,0000	1,0000	2489,9688	01/04/2026	0,00	298,80	36,15	166,53	0,000000	1145,6144	0,0000	290,3000	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300124.0001	BANCO STONE P	301	STONE	1,0000	0,0000	1,0000	1855,1561	01/04/2026	0,00	222,62	26,94	124,07	0,000000	491,8488	0,0000	193,7300	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300125.0001	BANCO STONE M CT CZ HIDROR	301	STONE	1,0000	0,0000	1,0000	2152,1561	01/04/2026	0,00	258,26	31,25	143,94	0,000000	861,2684	0,0000	233,7400	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300003.0187	BANCO MALY CINZA HIDROREPELENTE MARROM R8017 D.WORK.IN	301	MALY	1,0000	0,0000	1,0000	1255,7210	01/04/2026	0,00	150,69	18,23	83,98	0,000000	676,9918	0,0000	127,0750	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	100252.0004	BICICLETARIO SPYRA CL A LA R2004 FOSC MICR	103	SPYRA	1,0000	0,0000	1,0000	1444,8357	01/04/2026	0,00	182,05	20,84	95,97	0,000000	486,1317	0,0000	96,2300	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300182.0003	BANCO DEMETRA J CT BC VERNIZ MAD REFL CASTA DECK	301	DEMETRA	1,0000	0,0000	1,0000	2957,1944	01/04/2026	0,00	354,86	42,94	197,78	0,000000	1551,3824	0,0000	250,5400	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300155.0001	BANCO DEMETRA H CT BC VERNIZ	301	DEMETRA	1,0000	0,0000	1,0000	2156,3190	01/04/2026	0,00	258,76	31,31	144,21	0,000000	980,0585	0,0000	250,5400	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4541	DWORKIN COMERCIO DE MOVEIS LTDA	300124.0002	BANCO STONE P CT BC HIDROR	301	STONE	1,0000	0,0000	1,0000	2506,9127	01/04/2026	0,00	300,83	36,40	167,66	0,000000	685,0304	0,0000	193,7300	SP	DWORKIN COMERCIO DE MOVEIS LTDA	04/06/2024	DISTRIBUIDOR AUTORIZADO GOLD
09/02/2026	4540	CYRELA SUL 031 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA	300204.0001	ELEMENTO FUNDO FALSO LIXEIRA DOHA CT CZ VERNIZ	305	DOHA	39,0000	0,0000	0,0000	115,5578	17/04/2026	0,00	766,15	61,72	284,29	0,000000	70,0117	0,0000	118,7500	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	09/02/2026	CONSTRUTORAS/INCORPORADORAS
10/02/2026	4545	ARCOS DORADOS URUGUAY S.A	400006.0002	CONJ MESA RETA C/BANCOS ESTRU PINTADA E FIBRA CELULOSICA	111	ARCOS DOURADOS	8,0000	0,0000	8,0000	2291,8836	03/04/2026	0,00	0,00	0,00	0,00	0,000000	2456,6712	0,0000	0,0000	UR	METALCO DO BRASIL LTDA	16/09/2022	OUTROS CONSUM. FINAIS PESSOA J
10/02/2026	4545	ARCOS DORADOS URUGUAY S.A	400005	LIXEIRA COM CHAPA PINTADA E FIBRA CELULOSICA	102	ARCOS DOURADOS	1,0000	0,0000	1,0000	2544,8167	03/04/2026	0,00	0,00	0,00	0,00	0,000000	2804,1100	0,0000	0,0000	UR	METALCO DO BRASIL LTDA	16/09/2022	OUTROS CONSUM. FINAIS PESSOA J
10/02/2026	4545	ARCOS DORADOS URUGUAY S.A	400002.0002	CONJ MESA QUADRADA/BANCOS ESTR PINTADA E FIBRA CELULOSICA	111	ARCOS DOURADOS	3,0000	0,0000	3,0000	1713,7508	03/04/2026	0,00	0,00	0,00	0,00	0,000000	1964,2233	0,0000	0,0000	UR	METALCO DO BRASIL LTDA	16/09/2022	OUTROS CONSUM. FINAIS PESSOA J
10/02/2026	4546	MR MORADAS DO EUSEBIO LOTEAMENTOS IMOBILIARIOS LTDA	200006.0021	BANCO HARRIS 1800 C/ENCOSTO PR R9005 FOSC MICR MAD REFL CASTA DECK	201	HARRIS	2,0000	0,0000	2,0000	4508,4600	30/03/2026	1512,87	651,70	113,06	520,78	0,000000	1342,0966	0,0000	0,0000	CE	VENDEDOR INTERNO - 3	17/09/2025	CONSTRUTORAS/INCORPORADORAS
10/02/2026	4546	MR MORADAS DO EUSEBIO LOTEAMENTOS IMOBILIARIOS LTDA	200083.0003	BANCO HARRIS A 1270 SEM ENCOSTO PR R9005 FOSC MICR MAD REFL CASTA DECK	201	HARRIS	2,0000	0,0000	2,0000	3701,5470	30/03/2026	1242,10	535,06	92,83	427,57	0,000000	1000,8216	0,0000	0,0000	CE	VENDEDOR INTERNO - 3	17/09/2025	CONSTRUTORAS/INCORPORADORAS
11/02/2026	4549	ATITUS EDUCACAO S.A	300128.0001	BANCO ONDA A CT CZ VERNIZ	301	ONDA	3,0000	0,0000	3,0000	2493,8728	19/03/2026	0,00	1271,88	102,46	471,94	0,000000	842,1391	0,0000	186,0900	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	10/02/2026	ESCOLAS/UNIVERSIDADES
11/02/2026	4549	ATITUS EDUCACAO S.A	300110.0004	BANCO STONE G CT CZ VERNIZ	301	STONE	1,0000	0,0000	1,0000	3721,2320	19/03/2026	0,00	632,61	50,96	234,74	0,000000	1158,6360	0,0000	290,3000	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	10/02/2026	ESCOLAS/UNIVERSIDADES
12/02/2026	4552	2R COMERCIO DE COMBUSTIVEIS LTDA	100009.0081	LIXEIRA BRAVO SIMPLES PARAF. GR 7016 FM CST 1 LISO GR 7016 FM	102	BRAVO	2,0000	0,0000	2,0000	1271,5000	02/04/2026	0,00	320,42	36,67	168,92	0,000000	616,9500	0,0000	0,0000	SC	VENDEDOR INTERNO - 3	12/02/2026	REVENDA OUTROS
12/02/2026	4553	SC IMOVEIS CONSTRUTORA E INCORPORADORA LTDA	300088.0003	BANCO RIVOLA CT BC	301	RIVOLA	1,0000	0,0000	1,0000	3714,6600	24/03/2026	185,73	445,76	50,87	234,32	0,000000	974,0999	0,0000	323,3500	SC	VENDEDOR INTERNO - 3	12/02/2026	CONSTRUTORAS/INCORPORADORAS
13/02/2026	4556	W ALL LTDA	100038.0014	BICICLETARIO GUARDIA CORTEIN	103	GUARDIA	29,0000	0,0000	29,0000	779,3520	12/08/2026	1186,56	2847,75	306,35	1411,08	0,000000	372,8483	0,0000	0,0000	SC	VENDEDOR INTERNO - 3	01/08/2025	CONSTRUTORAS/INCORPORADORAS
13/02/2026	4556	W ALL LTDA	300146.0002	BANCO NATURAL PUZZLE CT BC HIDROR	301	PUZZLE	2,0000	0,0000	2,0000	5954,8800	12/08/2026	595,49	1429,17	163,10	751,27	0,000000	1545,9448	0,0000	155,3500	SC	VENDEDOR INTERNO - 3	01/08/2025	CONSTRUTORAS/INCORPORADORAS
