Data de emissão	Pedido	Razão social (Nome) - Cliente (Pedido)	Item	Descrição do item	Subgrupo (Código) - Item	Descrição - Família de itens (Item)	Qtde. solicitada	Qtde. cancelada	Qtde. faturada	Valor unitário	Data de previsão de faturamento - Pedido	Impostos dos itens dos pedidos - Valor ICMS destinatário	Valor do ICMS - Impostos dos itens dos pedidos	Valor do PIS - Impostos dos itens dos pedidos	Valor de COFINS - Impostos dos itens dos pedidos	Preço de custo - Item	Custo de matéria-prima - Item	Item - Gastos gerais de fabricação	Custo da mão de obra - Item	Cliente - Estado (Sigla)	Representante - Razão social (Representante)	Cliente - Data de cadastro	Família de clientes
21/02/2026	66739	METALCO DO BRASIL LTDA	501415.0011	ASSENTO ENCOSTO SIMPLES SARAH WOOD CZ 7012 FM MAD REFL CASTA DECK	31	ITENS ESPECIAIS	38,0000	0,0000	38,0000	1485,2105	24/03/2026	0,00	6772,63	819,48	3774,57	0,000000	374,5429	147,6682	199,5718	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
21/02/2026	66740	METALCO DO BRASIL LTDA	502033	PLAYGROUND MACEIO	28	ITENS ESPECIAIS	1,0000	0,0000	0,0000	560,0306	21/05/2026	0,00	67,20	8,13	37,46	0,000000	54058,6127	4168,3290	2838,1084	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
21/02/2026	66740	METALCO DO BRASIL LTDA	501815.0001	CJ ESTRUTURA E FERRAGENS TOTEM CONB PR 9005 FM	31	ITENS ESPECIAIS	2,0000	0,0000	0,0000	8558,8648	21/05/2026	0,00	2054,15	248,55	1144,83	0,000000	1606,6763	817,5000	320,2879	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
21/02/2026	66738	METALCO DO BRASIL LTDA	501488.0017	CONJUNTO METALICO CESTO E PORTA LIXEIRA QU CZ 7012 FM	31	ITENS ESPECIAIS	8,0000	0,0000	8,0000	835,6365	27/03/2026	0,00	802,22	97,07	447,10	0,000000	131,3366	164,1000	112,0058	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
21/02/2026	66738	METALCO DO BRASIL LTDA	600168.0011	BICICLETARIO SPYRA 6 (100010) VERMELHO R2002	30	METALCO	3,0000	0,0000	3,0000	1111,3182	27/03/2026	0,00	400,08	48,41	222,97	0,000000	282,6306	120,0000	109,4106	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
21/02/2026	66738	METALCO DO BRASIL LTDA	600473.0004	SOMBREAMENTO PETALS CORTEIN	37	PETALS	8,0000	0,0000	8,0000	19563,9132	27/03/2026	0,00	18781,56	2272,54	10467,46	0,000000	4773,7117	3355,2000	1657,6031	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
23/02/2026	66746	D E H COMERCIO DE PERSIANAS LTDA	600419.0006	BANCO OBLIQUE D GR 7016 FM	21	OBLIQUE	1,0000	0,0000	0,0000	1350,7560	24/04/2026	0,00	94,55	20,73	95,47	0,000000	308,7310	360,3200	209,8667	PB	D E H COMERCIO DE PERSIANAS LTDA	11/07/2024	DISTRIBUIDOR AUTORIZADO BLACK
23/02/2026	66746	D E H COMERCIO DE PERSIANAS LTDA	600478.0001	CERCA KNOT CZ 7001 FM	33	PAPILLON	6,0000	0,0000	0,0000	457,1240	24/04/2026	0,00	191,99	42,09	193,86	0,000000	93,6825	133,5900	31,5900	PB	D E H COMERCIO DE PERSIANAS LTDA	11/07/2024	DISTRIBUIDOR AUTORIZADO BLACK
23/02/2026	66746	D E H COMERCIO DE PERSIANAS LTDA	600061.0003	FLOREIRA DUO 480 X 1840 X 620 MM PT R9006 FOSC MICR PT R9006 FOSC MICR	24	DUO	4,0000	0,0000	0,0000	1745,1360	24/04/2026	0,00	488,64	107,12	493,38	0,000000	499,5137	454,0000	64,6510	PB	D E H COMERCIO DE PERSIANAS LTDA	11/07/2024	DISTRIBUIDOR AUTORIZADO BLACK
23/02/2026	66746	D E H COMERCIO DE PERSIANAS LTDA	402225.0007	NOVA MESA CONCRETUM TMP DE ACO BR 9010 FM	17	CONCRETUM	2,0000	0,0000	0,0000	384,5200	24/04/2026	0,00	53,83	11,80	54,36	0,000000	297,1436	18,0000	35,3810	PB	D E H COMERCIO DE PERSIANAS LTDA	11/07/2024	DISTRIBUIDOR AUTORIZADO BLACK
23/02/2026	66746	D E H COMERCIO DE PERSIANAS LTDA	402225.0008	NOVA MESA CONCRETUM TMP DE ACO VD 6005 FM	17	CONCRETUM	2,0000	0,0000	0,0000	384,5200	24/04/2026	0,00	53,83	11,80	54,36	0,000000	297,1436	18,0000	35,3810	PB	D E H COMERCIO DE PERSIANAS LTDA	11/07/2024	DISTRIBUIDOR AUTORIZADO BLACK
23/02/2026	66742	NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO	600030.0015	MESA CAMILLA - WE 1860 VD R6027 FOSC MICR MAD REFL CASTA DECK	31	CAMILLA	36,0000	0,0000	36,0000	3442,2276	24/08/2026	0,00	15353,71	1791,35	8251,05	0,000000	427,8126	245,2198	246,4124	SP	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	15/12/2025	OUTROS CONSUM. FINAIS PESSOA J
23/02/2026	66742	NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO	600102.0018	BANCO LENA WC - 1800 LL 4005 FM MAD REFL CASTA DECK LISO	21	LENA	38,0000	0,0000	38,0000	3471,8644	24/08/2026	0,00	16346,23	1907,15	8784,43	0,000000	457,4516	216,4811	147,4199	SP	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	15/12/2025	OUTROS CONSUM. FINAIS PESSOA J
23/02/2026	66742	NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO	600101.0036	BANCO LENA S - CURVO 45 GRAUS LL 4005 FM LL 4005 FM	21	LENA	4,0000	0,0000	4,0000	4008,0484	24/08/2026	0,00	1986,39	231,76	1067,48	0,000000	407,7859	450,6000	243,2738	SP	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	15/12/2025	OUTROS CONSUM. FINAIS PESSOA J
23/02/2026	66742	NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO	600101.0037	BANCO LENA S - CURVO 45 GRAUS VD 6027 FM VD 6027 FM	21	LENA	4,0000	0,0000	4,0000	4008,0484	24/08/2026	0,00	1986,39	231,76	1067,48	0,000000	407,7859	450,6000	243,2738	SP	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	15/12/2025	OUTROS CONSUM. FINAIS PESSOA J
23/02/2026	66742	NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO	600034.0038	BANCO LENA WB D - 1800 LL R4005 FOSC MICR MAD REFL CASTA DECK	21	LENA	4,0000	0,0000	4,0000	2567,2154	24/08/2026	0,00	1272,31	148,44	683,74	0,000000	349,5055	150,0515	107,7201	SP	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	15/12/2025	OUTROS CONSUM. FINAIS PESSOA J
23/02/2026	66742	NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO	600034.0039	BANCO LENA WB D - 1800 VD R6027 FOSC MICR MAD REFL CASTA DECK	21	LENA	2,0000	0,0000	2,0000	2567,2154	24/08/2026	0,00	636,16	74,22	341,87	0,000000	349,5055	150,0515	107,7201	SP	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	15/12/2025	OUTROS CONSUM. FINAIS PESSOA J
23/02/2026	66742	NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO	600102.0019	BANCO LENA WC - 1800 VD 6027 FM MAD REFL CASTA DECK LISO	21	LENA	23,0000	0,0000	23,0000	3471,8644	24/08/2026	0,00	9893,77	1154,33	5316,89	0,000000	457,4516	216,4811	147,4199	SP	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	15/12/2025	OUTROS CONSUM. FINAIS PESSOA J
24/02/2026	66757	NOBREGA ARQUITETURA LTDA	700607	CATALOGO METALCO 2025	9089	ADMINISTRATIVO	12,0000	0,0000	12,0000	31,8500	04/03/2026	0,00	26,75	5,86	27,01	0,000000	0,0000	0,0000	0,0000	CE	NOBREGA ARQUITETURA LTDA	30/10/2025	DISTRIBUIDOR AUTORIZADO GOLD
24/02/2026	66757	NOBREGA ARQUITETURA LTDA	700453	CATALOGO MY CITY 2025	9089	ADMINISTRATIVO	12,0000	0,0000	12,0000	21,2300	04/03/2026	0,00	17,83	3,91	18,01	27,497250	0,0000	0,0000	0,0000	CE	NOBREGA ARQUITETURA LTDA	30/10/2025	DISTRIBUIDOR AUTORIZADO GOLD
24/02/2026	66758	CRECHE ESCOLA GLOBAL TREE LTDA	600410.0013	BANCO CUBIK A LA R2004 FOSC MICR LA 2004 FM	21	CUBIK	6,0000	0,0000	6,0000	940,2900	20/04/2026	615,37	699,01	69,23	318,89	0,000000	112,5274	138,8000	48,4900	RJ	MAIA MOVEIS DE ESCRITORIOS LTDA	31/10/2025	ESCOLAS/UNIVERSIDADES
24/02/2026	66758	CRECHE ESCOLA GLOBAL TREE LTDA	600411.0010	BANCO CUBIK B LL R4005 FOSC MICR LL 4005 FM	21	CUBIK	4,0000	0,0000	4,0000	1092,9072	20/04/2026	476,83	541,65	53,65	247,10	0,000000	130,2950	162,0000	51,3518	RJ	MAIA MOVEIS DE ESCRITORIOS LTDA	31/10/2025	ESCOLAS/UNIVERSIDADES
24/02/2026	66758	CRECHE ESCOLA GLOBAL TREE LTDA	600414.0013	FLOREIRA CUBIK E VD 6027 FM VD 6027 FM	24	CUBIK	6,0000	0,0000	6,0000	1291,6920	20/04/2026	859,67	976,52	94,55	435,51	0,000000	140,3767	191,9850	76,0136	RJ	MAIA MOVEIS DE ESCRITORIOS LTDA	31/10/2025	ESCOLAS/UNIVERSIDADES
