Data de entrada	Nota de entrada	Série	Fornecedor (Código)	Item	Descrição do item	Qtde	Valor unitário	Valor total	Valor ICMS	Valor PIS	Valor COFINS	Custo da mão de obra - Item	Preço de custo - Item	Custo de matéria-prima - Item	Nota fiscal de devolução (Número)
16/01/2026	7361	1	1502	300010.0023	BANCO SARAH CT CZ VERNIZ	6,0000	1894,5280	11367,17	1364,06	155,67	717,04	162,2100	0,000000	408,4009	7350
19/01/2026	7363	1	1502	300010.0023	BANCO SARAH CT CZ VERNIZ	6,0000	1894,5280	11367,17	1364,06	155,67	717,04	162,2100	0,000000	408,4009	7350
13/02/2026	7434	1	1473	100038.0014	BICICLETARIO GUARDIA CORTEIN	29,0000	779,3520	22601,21	2847,75	306,35	1411,08	0,0000	0,000000	372,8483	7411
13/02/2026	7434	1	1473	300146.0002	BANCO NATURAL PUZZLE CT BC HIDROR	2,0000	5954,8800	11909,76	1429,17	163,10	751,27	155,3500	0,000000	1545,9448	7411
